Horodateur,Date de l'observation,Nom de l'observateur,Zone d'observation,Zone d'observation,Ordre,Famille,Genre,Espèce,Nombre,Sexe,Lien URL de l'image,Fiche technique,Remaques
05/07/2015 23:00:55,05/07/2015,Tifaeris,C9,,Coléoptères,Oedemeridae,Oedemera,Oedémère ochracé (Oedemera podagrariae),4,,https://tifaeris.files.wordpress.com/2013/06/oedc3a9mc3a8re-ochracc3a9-6.jpg,https://tifaeris.wordpress.com/insectes/coleopteres/oedemere-ochrace/,
05/07/2015 23:02:19,05/07/2015,Tifaeris,C9,,Hémiptères,Lygaeidae,Spilostethus,Spilostethus pandurus,1,,,https://tifaeris.wordpress.com/insectes/hemipteres/spilostethus-pandurus/,
05/07/2015 23:03:04,05/07/2015,Tifaeris,C9,,Hémiptères,Alydidae,Camptopus,Camptope des genêts (Camptopus lateralis),1,,,https://tifaeris.wordpress.com/insectes/hemipteres/camptote-des-genets/,
05/07/2015 23:04:14,05/07/2015,Tifaeris,C9,,Coléoptères,Lucanidae,Lucanus,Lucane cerf-volant (Lucanus cervus),1,Mâle,,https://tifaeris.wordpress.com/insectes/coleopteres/lucane-cerf-volant/,
05/07/2015 23:04:49,05/07/2015,Tifaeris,C9,,Coléoptères,Cantharidae,Rhagonycha,Téléphore fauve (Rhagonycha fulva),2,,,https://tifaeris.wordpress.com/insectes/coleopteres/telephore-fauve/,Accouplement
05/07/2015 23:05:49,05/07/2015,Tifaeris,E19,,Araignées,Araneidae,Araneus, Épeire diadème (Araneus diadematus),2,,,https://tifaeris.wordpress.com/arachnides-2/arachnides/epeire-diademe/,
05/07/2015 22:31:20,04/07/2015,Tifaeris,G10,,Lépidoptères,Papilionidae,Iphiclides,Flambé (Iphiclides podalirius),1,,,https://tifaeris.wordpress.com/insectes/lepidopteres/rhopaloceres-de-jour/flambe-iphiclides-podalirius/,Boit devant l'affût
05/07/2015 22:32:12,04/07/2015,Tifaeris,H10,,Lépidoptères,Lycaenidae,Lycaena,Cuivré commun (Lycaena phlaeas),1,,https://tifaeris.files.wordpress.com/2013/06/cuivrc3a9-commun-25.jpg,https://tifaeris.wordpress.com/insectes/lepidopteres/rhopaloceres-de-jour/cuivre-commun/,
05/07/2015 22:33:14,04/07/2015,Tifaeris,H10,,Lépidoptères,Hesperiidae,Erynnis,Point-de-Hongrie (Erynnis tages),1,,https://tifaeris.files.wordpress.com/2013/07/point-de-hongrie2.jpg,https://tifaeris.wordpress.com/insectes/lepidopteres/rhopaloceres-de-jour/point-de-hongrie/,
05/07/2015 22:34:07,04/07/2015,Tifaeris,E11,,Lépidoptères,Papilionidae,Iphiclides,Flambé (Iphiclides podalirius),2,,https://tifaeris.files.wordpress.com/2015/04/flambc3a91.jpg,https://tifaeris.wordpress.com/insectes/lepidopteres/rhopaloceres-de-jour/flambe-iphiclides-podalirius/,
